# memory size (bytes)	cycles
1744000	9375
1745000	9375
1746000	7812
1747000	9375
1748000	9375
1749000	9375
1750000	9375
1751000	9375
1752000	7812
1753000	9375
1754000	9375
1755000	7812
1756000	9375
1757000	9375
1758000	9375
1759000	9375
1760000	9375
1761000	9375
1762000	9375
1763000	7812
1764000	9375
1765000	9375
1766000	9375
1767000	9375
1768000	9375
1769000	9375
1770000	9375
1771000	9375
1772000	9375
1773000	9375
1774000	9375
1775000	9375
1776000	7812
1777000	9375
1778000	9375
1779000	9375
1780000	9375
1781000	9375
1782000	9375
1783000	9375
1784000	9375
1785000	9375
1786000	9375
1787000	9375
1788000	9375
1789000	9375
1790000	9375
1791000	9375
1792000	9375
1793000	9375
1794000	9375
1795000	9375
1796000	9375
1797000	9375
1798000	9375
1799000	9375
1800000	9375
1801000	7812
1802000	9375
1803000	9375
1804000	9375
1805000	9375
1806000	9375
1807000	9375
1808000	9375
1809000	9375
1810000	9375
1811000	9375
1812000	10937
1813000	9375
1814000	9375
1815000	9375
1816000	9375
1817000	9375
1818000	9375
1819000	9375
1820000	9375
1821000	10937
1822000	9375
1823000	9375
1824000	9375
1825000	9375
1826000	10937
1827000	9375
1828000	9375
1829000	9375
1830000	9375
1831000	9375
1832000	10937
1833000	9375
1834000	9375
1835000	9375
1836000	9375
1837000	9375
1838000	9375
1839000	10937
1840000	9375
1841000	9375
1842000	9375
1843000	9375
1844000	9375
1845000	9375
1846000	9375
1847000	10937
1848000	9375
1849000	9375
1850000	9375
1851000	9375
1852000	9375
1853000	9375
1854000	9375
1855000	10937
1856000	9375
1857000	9375
1858000	9375
1859000	9375
1860000	9375
1861000	9375
1862000	9375
1863000	9375
1864000	9375
1865000	10937
1866000	9375
1867000	9375
1868000	9375
1869000	9375
1870000	10937
1871000	9375
1872000	9375
1873000	9375
1874000	9375
1875000	10937
1876000	9375
1877000	9375
1878000	9375
1879000	9375
1880000	10937
1881000	9375
1882000	9375
1883000	9375
1884000	9375
1885000	10937
1886000	9375
1887000	9375
1888000	9375
1889000	9375
1890000	9375
1891000	10937
1892000	9375
1893000	9375
1894000	9375
1895000	9375
1896000	9375
1897000	9375
1898000	10937
1899000	9375
1900000	9375
1901000	9375
1902000	9375
1903000	9375
1904000	10937
1905000	9375
1906000	9375
1907000	10937
1908000	9375
1909000	9375
1910000	9375
1911000	9375
1912000	10937
1913000	9375
1914000	9375
1915000	10937
1916000	9375
1917000	9375
1918000	10937
1919000	9375
1920000	9375
1921000	9375
1922000	10937
1923000	9375
1924000	9375
1925000	10937
1926000	9375
1927000	9375
1928000	10937
1929000	9375
1930000	9375
1931000	9375
1932000	10937
1933000	9375
1934000	9375
1935000	9375
1936000	10937
1937000	9375
1938000	9375
1939000	10937
1940000	9375
1941000	9375
1942000	10937
1943000	9375
1944000	9375
1945000	10937
1946000	9375
1947000	10937
1948000	9375
1949000	9375
1950000	10937
1951000	9375
1952000	9375
1953000	10937
1954000	9375
1955000	9375
1956000	9375
1957000	10937
1958000	9375
1959000	10937
1960000	9375
1961000	10937
1962000	9375
1963000	10937
1964000	9375
1965000	9375
1966000	10937
1967000	9375
1968000	10937
1969000	9375
1970000	9375
1971000	10937
1972000	9375
1973000	10937
1974000	9375
1975000	10937
1976000	9375
1977000	10937
1978000	9375
1979000	10937
1980000	10937
1981000	9375
1982000	10937
1983000	10937
1984000	9375
1985000	9375
1986000	10937
1987000	9375
1988000	10937
1989000	9375
1990000	10937
1991000	9375
1992000	10937
1993000	9375
1994000	9375
1995000	10937
1996000	10937
1997000	9375
1998000	10937
1999000	9375
2000000	10937
2001000	9375
2002000	10937
2003000	9375
2004000	10937
2005000	9375
2006000	10937
2007000	10937
2008000	9375
2009000	10937
2010000	9375
2011000	10937
2012000	9375
2013000	10937
2014000	10937
2015000	9375
2016000	10937
2017000	9375
2018000	10937
2019000	9375
2020000	10937
2021000	9375
2022000	10937
2023000	9375
2024000	10937
2025000	9375
2026000	10937
2027000	10937
2028000	9375
2029000	9375
2030000	10937
2031000	9375
2032000	10937
2033000	10937
2034000	10937
2035000	9375
